name,Overall Score,Tariff Rate,Income Tax Rate,Corporate Tax Rate,Population (millions),GDP (billions),GDP per Capita,Unemployment Rate,Inflation Rate,FDI Inflow (millions),Tax Burden % GDP,Govt. Expenditure % GDP
,53.0,5.7,20.0,20.0,38.0,76.6,2294.0,11.1,2.3,38.5,9.3,28.2
,65.2,3.6,23.0,15.0,2.9,39.8,14495.0,12.3,1.4,1281.3,18.6,29.1
,49.7,13.8,35.0,26.0,43.1,668.8,11820.0,11.7,2.0,1381.9,37.2,38.5
,54.2,7.4,17.0,30.0,31.8,200.8,6930.0,6.9,17.1,-4098.5,9.2,20.9
,52.7,13.7,35.0,30.0,44.9,911.6,22947.0,9.8,53.5,6244.4,28.9,39.6
,71.9,5.6,23.0,18.0,3.0,33.4,14220.0,17.0,1.4,254.5,20.9,25.0
,82.4,2.6,45.0,30.0,25.4,1362.1,53320.0,5.3,1.6,36156.2,28.5,37.4
,73.9,3.0,55.0,25.0,8.9,476.8,59111.0,4.7,1.5,4642.6,42.2,48.6
,70.1,8.5,25.0,20.0,10.0,187.3,15001.0,5.5,2.6,1503.9,13.0,34.1
,69.9,5.7,0.0,0.0,1.6,76.9,46892.0,0.7,1.0,941.8,1.1,33.1
,56.5,10.8,30.0,25.0,163.0,838.6,4951.0,4.2,5.7,1596.8,8.8,14.3
,65.0,13.3,28.5,5.5,0.3,5.4,16287.0,10.3,4.1,215.4,35.0,29.9
,61.0,4.5,13.0,18.0,9.5,195.1,19943.0,4.6,5.6,1293.1,14.7,38.5
,70.1,3.0,50.0,29.0,11.5,572.9,54545.0,5.6,1.2,9706.9,44.9,52.1
,57.5,17.5,25.0,25.0,0.4,3.4,7295.0,6.4,0.6,102.9,29.7,34.3
,59.6,12.3,45.0,30.0,11.8,40.6,3424.0,2.2,-0.9,230.2,15.4,16.4
,58.3,22.1,25.0,30.0,0.8,7.9,12390.0,2.3,2.6,7.2,16.0,30.7
,42.7,9.2,13.0,25.0,11.5,93.4,9086.0,3.5,1.8,-159.5,26.0,37.3
,62.9,7.9,10.0,10.0,3.3,49.7,15792.0,18.4,0.7,528.4,20.4,41.0
,67.6,6.3,25.0,22.0,2.3,43.9,18503.0,18.2,2.8,260.9,12.2,32.6
,53.4,10.2,27.5,34.0,211.0,3480.6,15259.0,12.1,3.7,71989.3,32.9,38.1
,66.6,0.2,0.0,18.5,0.4,36.6,64673.0,9.1,-0.5,274.6,20.6,32.9
,70.4,3.0,10.0,10.0,7.0,170.9,24561.0,4.3,2.5,1222.9,20.2,34.3
,56.5,9.5,27.5,28.0,20.3,47.3,2280.0,6.3,-3.2,208.0,19.3,24.6
,55.2,5.0,25.0,25.0,54.0,357.3,5355.0,1.6,8.6,2766.0,5.9,20.7
,49.9,15.1,35.0,30.0,11.5,8.7,783.0,1.4,-0.7,1.0,12.9,26.3
,63.8,11.0,35.0,24.0,0.5,4.3,7469.0,12.3,1.1,104.0,20.1,31.2
,57.3,9.2,20.0,20.0,16.5,77.0,4571.0,0.7,2.4,3706.0,17.1,22.9
,53.4,14.9,35.0,33.0,25.9,100.6,3804.0,3.4,2.5,781.6,14.4,19.1
,77.9,3.1,33.0,15.0,37.6,1904.4,51342.0,5.6,1.9,50331.9,33.0,40.9
,48.8,17.4,50.0,30.0,4.7,4.2,984.0,3.7,2.7,25.6,8.6,16.1
